circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time
20QBT_depth_Tokyo_large_opt_3_2.55_no.4.qasm,99,36,141,60,1.424,1.667,0.06,138,56,1.394,1.556,0.05,147,52,1.485,1.444,0.06
20QBT_depth_Tokyo_large_opt_3_2.55_no.5.qasm,102,42,150,80,1.471,1.905,0.35,150,83,1.471,1.976,0.34,198,79,1.941,1.881,0.36
20QBT_depth_Tokyo_large_opt_3_2.55_no.6.qasm,82,33,133,74,1.622,2.242,0.06,133,68,1.622,2.061,0.05,172,64,2.098,1.939,0.08
20QBT_depth_Tokyo_large_opt_3_2.55_no.7.qasm,88,40,130,81,1.477,2.025,0.06,124,79,1.409,1.975,0.06,190,60,2.159,1.5,0.09
20QBT_depth_Tokyo_large_opt_3_2.55_no.8.qasm,105,37,168,76,1.6,2.054,0.07,159,94,1.514,2.541,0.07,213,71,2.029,1.919,0.08
20QBT_depth_Tokyo_large_opt_3_2.55_no.9.qasm,76,30,115,70,1.513,2.333,0.06,115,68,1.513,2.267,0.05,130,54,1.711,1.8,0.06
20QBT_depth_Tokyo_large_opt_4_1.5_no.0.qasm,118,40,196,85,1.661,2.125,0.08,187,89,1.585,2.225,0.06,223,76,1.89,1.9,0.08
20QBT_depth_Tokyo_large_opt_4_1.5_no.1.qasm,93,31,138,81,1.484,2.613,0.06,135,81,1.452,2.613,0.05,177,65,1.903,2.097,0.07
20QBT_depth_Tokyo_large_opt_4_1.5_no.2.qasm,91,35,178,94,1.956,2.686,0.06,169,84,1.857,2.4,0.05,211,68,2.319,1.943,0.08
20QBT_depth_Tokyo_large_opt_4_1.5_no.3.qasm,96,33,150,72,1.562,2.182,0.07,147,71,1.531,2.152,0.06,195,63,2.031,1.909,0.08
20QBT_depth_Tokyo_large_opt_4_1.5_no.4.qasm,115,43,202,107,1.757,2.488,0.08,190,92,1.652,2.14,0.06,256,89,2.226,2.07,0.09
20QBT_depth_Tokyo_large_opt_4_1.5_no.5.qasm,110,36,173,77,1.573,2.139,0.07,173,77,1.573,2.139,0.06,218,70,1.982,1.944,0.39
20QBT_depth_Tokyo_large_opt_4_1.5_no.6.qasm,99,32,189,84,1.909,2.625,0.07,171,81,1.727,2.531,0.36,213,61,2.152,1.906,0.08
20QBT_depth_Tokyo_large_opt_4_1.5_no.7.qasm,102,37,171,88,1.676,2.378,0.07,171,88,1.676,2.378,0.06,183,66,1.794,1.784,0.07
20QBT_depth_Tokyo_large_opt_4_1.5_no.8.qasm,101,38,161,74,1.594,1.947,0.07,179,83,1.772,2.184,0.06,176,70,1.743,1.842,0.06
20QBT_depth_Tokyo_large_opt_4_1.5_no.9.qasm,101,32,170,71,1.683,2.219,0.07,164,72,1.624,2.25,0.06,203,63,2.01,1.969,0.08
20QBT_depth_Tokyo_large_opt_4_2.55_no.0.qasm,131,45,230,117,1.756,2.6,0.09,227,113,1.733,2.511,0.07,299,106,2.282,2.356,0.11
20QBT_depth_Tokyo_large_opt_4_2.55_no.1.qasm,103,40,172,77,1.67,1.925,0.08,172,77,1.67,1.925,0.07,223,67,2.165,1.675,0.09
20QBT_depth_Tokyo_large_opt_4_2.55_no.2.qasm,134,50,236,120,1.761,2.4,0.1,221,109,1.649,2.18,0.08,248,93,1.851,1.86,0.44
20QBT_depth_Tokyo_large_opt_4_2.55_no.3.qasm,110,41,173,75,1.573,1.829,0.08,167,89,1.518,2.171,0.07,179,63,1.627,1.537,0.09
20QBT_depth_Tokyo_large_opt_4_2.55_no.4.qasm,100,38,172,94,1.72,2.474,0.09,178,99,1.78,2.605,0.07,229,80,2.29,2.105,0.1
20QBT_depth_Tokyo_large_opt_4_2.55_no.5.qasm,100,41,175,104,1.75,2.537,0.08,169,75,1.69,1.829,0.06,244,72,2.44,1.756,0.1
20QBT_depth_Tokyo_large_opt_4_2.55_no.6.qasm,131,46,197,111,1.504,2.413,0.08,194,91,1.481,1.978,0.07,218,70,1.664,1.522,0.09
20QBT_depth_Tokyo_large_opt_4_2.55_no.7.qasm,104,41,185,94,1.779,2.293,0.43,173,89,1.663,2.171,0.41,224,83,2.154,2.024,0.09
20QBT_depth_Tokyo_large_opt_4_2.55_no.8.qasm,110,42,179,100,1.627,2.381,0.08,179,100,1.627,2.381,0.07,209,70,1.9,1.667,0.09
20QBT_depth_Tokyo_large_opt_4_2.55_no.9.qasm,115,41,193,122,1.678,2.976,0.09,214,98,1.861,2.39,0.07,268,90,2.33,2.195,0.12
20QBT_depth_Tokyo_large_opt_5_1.5_no.0.qasm,124,36,211,97,1.702,2.694,0.09,202,91,1.629,2.528,0.07,247,83,1.992,2.306,0.1
20QBT_depth_Tokyo_large_opt_5_1.5_no.1.qasm,130,50,238,131,1.831,2.62,0.1,220,108,1.692,2.16,0.43,277,94,2.131,1.88,0.11
