circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0330+cc_min_2qg_out,sabre0330+cc_min_depth_out,sabre0330+cc_min_2qg_ratio,sabre0330+cc_min_depth_ratio,sabre0330+cc_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sabre0394+cc_min_2qg_out,sabre0394+cc_min_depth_out,sabre0394+cc_min_2qg_ratio,sabre0394+cc_min_depth_ratio,sabre0394+cc_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time,sqgm+cc_min_2qg_out,sqgm+cc_min_depth_out,sqgm+cc_min_2qg_ratio,sqgm+cc_min_depth_ratio,sqgm+cc_avg_time,nassc_min_2qg_out,nassc_min_depth_out,nassc_min_2qg_ratio,nassc_min_depth_ratio,nassc_avg_time
54QBT_25CYC_QSE_0.qasm,270,25,717,130,2.656,5.2,0.46,571,112,2.115,4.48,0.57,612,141,2.267,5.64,0.25,540,113,2.0,4.52,0.41,801,90,2.967,3.6,0.55,729,75,2.7,3.0,0.63,539,108,1.996,4.32,0.81
54QBT_25CYC_QSE_1.qasm,270,25,600,135,2.222,5.4,0.45,483,83,1.789,3.32,0.52,600,119,2.222,4.76,0.32,532,92,1.97,3.68,0.54,657,77,2.433,3.08,0.55,668,73,2.474,2.92,0.71,515,88,1.907,3.52,0.83
54QBT_25CYC_QSE_2.qasm,270,25,612,107,2.267,4.28,0.52,553,98,2.048,3.92,0.43,612,128,2.267,5.12,0.2,528,90,1.956,3.6,0.27,738,77,2.733,3.08,0.65,608,69,2.252,2.76,0.55,477,90,1.767,3.6,0.89
54QBT_25CYC_QSE_3.qasm,270,25,618,142,2.289,5.68,0.5,611,96,2.263,3.84,0.47,642,153,2.378,6.12,0.34,561,105,2.078,4.2,0.26,750,79,2.778,3.16,0.65,644,78,2.385,3.12,0.74,521,86,1.93,3.44,0.81
54QBT_25CYC_QSE_4.qasm,270,25,570,90,2.111,3.6,0.49,466,77,1.726,3.08,0.41,597,119,2.211,4.76,0.39,451,87,1.67,3.48,0.26,666,77,2.467,3.08,0.6,583,71,2.159,2.84,0.5,467,88,1.73,3.52,0.78
54QBT_25CYC_QSE_5.qasm,270,25,543,115,2.011,4.6,0.52,459,97,1.7,3.88,0.59,627,107,2.322,4.28,0.2,530,74,1.963,2.96,0.29,654,73,2.422,2.92,0.43,535,59,1.981,2.36,0.51,502,84,1.859,3.36,0.69
54QBT_25CYC_QSE_6.qasm,270,25,666,114,2.467,4.56,0.36,590,121,2.185,4.84,0.46,627,117,2.322,4.68,0.19,547,106,2.026,4.24,0.27,723,85,2.678,3.4,0.44,599,65,2.219,2.6,0.53,676,115,2.504,4.6,1.12
54QBT_25CYC_QSE_7.qasm,270,25,672,141,2.489,5.64,0.37,558,92,2.067,3.68,0.45,729,145,2.7,5.8,0.2,523,98,1.937,3.92,0.55,822,79,3.044,3.16,0.55,706,75,2.615,3.0,0.6,540,97,2.0,3.88,0.74
54QBT_25CYC_QSE_8.qasm,270,25,672,164,2.489,6.56,0.38,616,106,2.281,4.24,0.77,669,143,2.478,5.72,0.2,642,135,2.378,5.4,0.3,783,108,2.9,4.32,0.46,701,88,2.596,3.52,0.54,621,126,2.3,5.04,0.79
54QBT_25CYC_QSE_9.qasm,270,25,666,163,2.467,6.52,0.63,604,119,2.237,4.76,0.74,645,130,2.389,5.2,0.48,605,113,2.241,4.52,0.29,786,95,2.911,3.8,0.79,639,70,2.367,2.8,0.87,572,117,2.119,4.68,1.02
