circuit,2qg_in,depth_in,sabre0394-la_min_2qg_out,sabre0394-la_min_depth_out,sabre0394-la_min_2qg_ratio,sabre0394-la_min_depth_ratio,sabre0394-la_avg_time,sabre0394-dc_min_2qg_out,sabre0394-dc_min_depth_out,sabre0394-dc_min_2qg_ratio,sabre0394-dc_min_depth_ratio,sabre0394-dc_avg_time
54QBT_25CYC_QSE_0.qasm,270,25,618,132,2.289,5.28,0.23,666,137,2.467,5.48,0.26
54QBT_25CYC_QSE_1.qasm,270,25,561,123,2.078,4.92,0.23,549,94,2.033,3.76,0.23
54QBT_25CYC_QSE_2.qasm,270,25,642,146,2.378,5.84,0.3,729,142,2.7,5.68,0.25
54QBT_25CYC_QSE_3.qasm,270,25,579,119,2.144,4.76,0.3,576,136,2.133,5.44,0.25
54QBT_25CYC_QSE_4.qasm,270,25,684,159,2.533,6.36,0.32,696,143,2.578,5.72,0.26
54QBT_25CYC_QSE_5.qasm,270,25,582,126,2.156,5.04,0.26,594,120,2.2,4.8,0.33
54QBT_25CYC_QSE_6.qasm,270,25,558,137,2.067,5.48,0.34,585,126,2.167,5.04,0.26
54QBT_25CYC_QSE_7.qasm,270,25,648,139,2.4,5.56,0.19,765,148,2.833,5.92,0.28
54QBT_25CYC_QSE_8.qasm,270,25,534,109,1.978,4.36,0.28,615,99,2.278,3.96,0.28
54QBT_25CYC_QSE_9.qasm,270,25,789,166,2.922,6.64,0.3,651,137,2.411,5.48,0.29
