circuit,gates_in,depth_in,gates_out,depth_out,gates_ratio,depth_ratio,time
20QBT_depth_Tokyo_large_opt_10_2.55_no.0,760,93,879,188,1.156578947,2.021505376,12.74
20QBT_depth_Tokyo_large_opt_10_2.55_no.1,769,97,875,178,1.137841352,1.835051546,10.58
20QBT_depth_Tokyo_large_opt_10_2.55_no.2,725,93,822,176,1.133793103,1.892473118,10.31
20QBT_depth_Tokyo_large_opt_10_2.55_no.3,756,90,872,179,1.153439153,1.988888889,11.62
20QBT_depth_Tokyo_large_opt_10_2.55_no.4,850,99,963,188,1.132941176,1.898989899,10.53
20QBT_depth_Tokyo_large_opt_10_2.55_no.5,795,95,917,191,1.153459119,2.010526316,12.12
20QBT_depth_Tokyo_large_opt_10_2.55_no.6,864,110,963,192,1.114583333,1.745454545,11.23
20QBT_depth_Tokyo_large_opt_10_2.55_no.7,801,95,923,178,1.152309613,1.873684211,12.35
20QBT_depth_Tokyo_large_opt_10_2.55_no.8,893,109,1001,188,1.120940649,1.724770642,9.56
20QBT_depth_Tokyo_large_opt_10_2.55_no.9,837,101,956,188,1.142174432,1.861386139,11.8
