circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0330+cc_min_2qg_out,sabre0330+cc_min_depth_out,sabre0330+cc_min_2qg_ratio,sabre0330+cc_min_depth_ratio,sabre0330+cc_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sabre0394+cc_min_2qg_out,sabre0394+cc_min_depth_out,sabre0394+cc_min_2qg_ratio,sabre0394+cc_min_depth_ratio,sabre0394+cc_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time,sqgm+cc_min_2qg_out,sqgm+cc_min_depth_out,sqgm+cc_min_2qg_ratio,sqgm+cc_min_depth_ratio,sqgm+cc_avg_time,nassc_min_2qg_out,nassc_min_depth_out,nassc_min_2qg_ratio,nassc_min_depth_ratio,nassc_avg_time
dj_indep_qiskit_50.qasm,49,52,298,164,6.082,3.154,0.11,291,166,5.939,3.192,0.14,283,177,5.776,3.404,0.07,281,180,5.735,3.462,0.1,319,117,6.51,2.25,0.12,319,116,6.51,2.231,0.15,229,177,4.673,3.404,0.22
dj_indep_qiskit_51.qasm,50,53,302,182,6.04,3.434,0.12,297,180,5.94,3.396,0.15,266,176,5.32,3.321,0.07,272,173,5.44,3.264,0.09,347,125,6.94,2.358,0.13,333,119,6.66,2.245,0.22,193,176,3.86,3.321,0.21
dj_indep_qiskit_52.qasm,51,54,372,186,7.294,3.444,0.13,396,181,7.765,3.352,0.24,249,174,4.882,3.222,0.15,244,177,4.784,3.278,0.1,486,124,9.529,2.296,0.23,475,120,9.314,2.222,0.34,238,180,4.667,3.333,0.3
dj_indep_qiskit_53.qasm,52,55,229,190,4.404,3.455,0.18,237,191,4.558,3.473,0.21,187,168,3.596,3.055,0.14,185,166,3.558,3.018,0.17,373,128,7.173,2.327,0.14,370,132,7.115,2.4,0.16,166,172,3.192,3.127,0.29
dj_indep_qiskit_54.qasm,53,56,410,180,7.736,3.214,0.23,401,186,7.566,3.321,0.26,266,179,5.019,3.196,0.07,281,180,5.302,3.214,0.17,284,127,5.358,2.268,0.11,280,123,5.283,2.196,0.14,184,167,3.472,2.982,0.21
dj_nativegates_ibm_qiskit_opt3_50.qasm,49,55,265,192,5.408,3.491,0.13,255,183,5.204,3.327,0.26,235,186,4.796,3.382,0.09,252,179,5.143,3.255,0.12,343,124,7,2.255,0.18,333,114,6.796,2.073,0.22,163,160,3.327,2.909,0.43
dj_nativegates_ibm_qiskit_opt3_51.qasm,50,56,215,191,4.3,3.411,0.13,200,189,4,3.375,0.15,212,190,4.24,3.393,0.09,214,192,4.28,3.429,0.12,341,132,6.82,2.357,0.16,324,123,6.48,2.196,0.2,180,154,3.6,2.75,0.23
dj_nativegates_ibm_qiskit_opt3_52.qasm,51,57,315,188,6.176,3.298,0.15,305,193,5.98,3.386,0.18,294,195,5.765,3.421,0.09,291,187,5.706,3.281,0.12,369,131,7.235,2.298,0.16,406,124,7.961,2.175,0.36,220,187,4.314,3.281,0.25
dj_nativegates_ibm_qiskit_opt3_53.qasm,52,58,208,182,4,3.138,0.13,204,178,3.923,3.069,0.16,205,180,3.942,3.103,0.09,201,176,3.865,3.034,0.12,265,135,5.096,2.328,0.26,263,132,5.058,2.276,0.18,208,171,4,2.948,0.26
dj_nativegates_ibm_qiskit_opt3_54.qasm,53,59,335,204,6.321,3.458,0.3,324,208,6.113,3.525,0.33,278,202,5.245,3.424,0.22,263,202,4.962,3.424,0.24,413,132,7.792,2.237,0.18,343,127,6.472,2.153,0.34,221,189,4.17,3.203,0.38
ghz_indep_qiskit_50.qasm,49,51,124,115,2.531,2.255,0.05,120,114,2.449,2.235,0.07,124,118,2.531,2.314,0.04,122,113,2.49,2.216,0.06,376,79,7.673,1.549,0.11,289,69,5.898,1.353,0.13,124,116,2.531,2.275,0.13
ghz_indep_qiskit_51.qasm,50,52,113,113,2.26,2.173,0.05,113,113,2.26,2.173,0.06,113,113,2.26,2.173,0.04,113,113,2.26,2.173,0.05,260,74,5.2,1.423,0.13,381,70,7.62,1.346,0.14,114,114,2.28,2.192,0.1
ghz_indep_qiskit_52.qasm,51,53,162,135,3.176,2.547,0.12,158,132,3.098,2.491,0.14,147,126,2.882,2.377,0.05,147,126,2.882,2.377,0.06,372,79,7.294,1.491,0.11,324,78,6.353,1.472,0.13,144,131,2.824,2.472,0.11
ghz_indep_qiskit_53.qasm,52,54,184,151,3.538,2.796,0.13,161,150,3.096,2.778,0.08,163,157,3.135,2.907,0.05,155,149,2.981,2.759,0.06,379,79,7.288,1.463,0.17,374,75,7.192,1.389,0.18,157,149,3.019,2.759,0.11
ghz_indep_qiskit_54.qasm,53,55,200,170,3.774,3.091,0.13,173,149,3.264,2.709,0.15,188,150,3.547,2.727,0.05,184,142,3.472,2.582,0.13,407,74,7.679,1.345,0.18,311,79,5.868,1.436,0.19,177,146,3.34,2.655,0.21
ghz_nativegates_ibm_qiskit_opt3_50.qasm,49,53,127,123,2.592,2.321,0.11,122,118,2.49,2.226,0.08,124,117,2.531,2.208,0.04,124,120,2.531,2.264,0.06,274,69,5.592,1.302,0.09,350,70,7.143,1.321,0.13,134,117,2.735,2.208,0.1
ghz_nativegates_ibm_qiskit_opt3_51.qasm,50,54,146,130,2.92,2.407,0.06,140,124,2.8,2.296,0.08,140,124,2.8,2.296,0.05,135,128,2.7,2.37,0.06,344,81,6.88,1.5,0.11,373,80,7.46,1.481,0.14,131,114,2.62,2.111,0.1
ghz_nativegates_ibm_qiskit_opt3_52.qasm,51,55,114,113,2.235,2.055,0.06,112,111,2.196,2.018,0.07,120,116,2.353,2.109,0.05,112,111,2.196,2.018,0.15,234,80,4.588,1.455,0.09,362,75,7.098,1.364,0.14,131,112,2.569,2.036,0.11
ghz_nativegates_ibm_qiskit_opt3_53.qasm,52,56,142,120,2.731,2.143,0.07,144,125,2.769,2.232,0.09,139,126,2.673,2.25,0.05,135,137,2.596,2.446,0.07,316,81,6.077,1.446,0.11,438,75,8.423,1.339,0.23,145,134,2.788,2.393,0.11
ghz_nativegates_ibm_qiskit_opt3_54.qasm,53,57,134,124,2.528,2.175,0.06,124,112,2.34,1.965,0.08,128,118,2.415,2.07,0.05,125,112,2.358,1.965,0.06,323,83,6.094,1.456,0.1,231,75,4.358,1.316,0.11,126,110,2.377,1.93,0.1
graphstate_indep_qiskit_50.qasm,50,15,140,37,2.8,2.467,0.1,120,29,2.4,1.933,0.11,122,32,2.44,2.133,0.07,115,27,2.3,1.8,0.09,152,32,3.04,2.133,0.16,134,30,2.68,2,0.16,170,37,3.4,2.467,0.26
graphstate_indep_qiskit_51.qasm,51,18,117,32,2.294,1.778,0.15,117,28,2.294,1.556,0.16,117,38,2.294,2.111,0.12,117,29,2.294,1.611,0.14,129,31,2.529,1.722,0.15,127,26,2.49,1.444,0.17,111,25,2.176,1.389,0.26
graphstate_indep_qiskit_52.qasm,52,14,121,32,2.327,2.286,0.1,121,29,2.327,2.071,0.12,115,32,2.212,2.286,0.08,115,29,2.212,2.071,0.14,178,27,3.423,1.929,0.12,167,25,3.212,1.786,0.15,114,28,2.192,2,0.19
graphstate_indep_qiskit_53.qasm,53,21,143,47,2.698,2.238,0.1,151,45,2.849,2.143,0.13,173,43,3.264,2.048,0.08,148,45,2.792,2.143,0.09,173,39,3.264,1.857,0.12,169,36,3.189,1.714,0.19,148,38,2.792,1.81,0.24
graphstate_indep_qiskit_54.qasm,54,22,135,43,2.5,1.955,0.1,147,36,2.722,1.636,0.13,129,42,2.389,1.909,0.08,147,36,2.722,1.636,0.1,171,32,3.167,1.455,0.12,171,28,3.167,1.273,0.2,127,37,2.352,1.682,0.17
graphstate_nativegates_ibm_qiskit_opt3_50.qasm,50,26,116,33,2.32,1.269,0.16,114,36,2.28,1.385,0.18,116,36,2.32,1.385,0.14,132,36,2.64,1.385,0.08,140,35,2.8,1.346,0.1,149,35,2.98,1.346,0.12,115,21,2.3,0.808,0.29
graphstate_nativegates_ibm_qiskit_opt3_51.qasm,51,20,144,43,2.824,2.15,0.1,147,41,2.882,2.05,0.12,147,39,2.882,1.95,0.07,144,40,2.824,2,0.08,147,37,2.882,1.85,0.2,147,39,2.882,1.95,0.23,143,34,2.804,1.7,0.26
graphstate_nativegates_ibm_qiskit_opt3_52.qasm,52,28,130,48,2.5,1.714,0.09,128,41,2.462,1.464,0.11,127,41,2.442,1.464,0.07,127,45,2.442,1.607,0.15,154,42,2.962,1.5,0.19,150,42,2.885,1.5,0.21,130,30,2.5,1.071,0.18
graphstate_nativegates_ibm_qiskit_opt3_53.qasm,53,21,131,37,2.472,1.762,0.09,114,33,2.151,1.571,0.1,128,35,2.415,1.667,0.08,114,30,2.151,1.429,0.08,116,29,2.189,1.381,0.09,116,29,2.189,1.381,0.1,118,23,2.226,1.095,0.17
graphstate_nativegates_ibm_qiskit_opt3_54.qasm,54,20,156,38,2.889,1.9,0.11,131,38,2.426,1.9,0.11,132,43,2.444,2.15,0.07,156,38,2.889,1.9,0.09,156,34,2.889,1.7,0.12,157,34,2.907,1.7,0.13,147,26,2.722,1.3,0.24
qft_indep_qiskit_50.qasm,2525,395,6023,1814,2.385,4.592,4.29,4568,1541,1.809,3.901,4.41,5954,1654,2.358,4.187,3.08,4844,1497,1.918,3.79,3.06,8246,1214,3.266,3.073,5.51,6516,1182,2.581,2.992,7.24,4604,1429,1.823,3.618,8.63
qft_indep_qiskit_51.qasm,2625,403,5904,1710,2.249,4.243,4.29,4560,1486,1.737,3.687,5.55,5745,1789,2.189,4.439,2.64,4702,1406,1.791,3.489,3.33,7995,1191,3.046,2.955,6.72,6811,1144,2.595,2.839,7.89,4498,1370,1.714,3.4,9.75
qft_indep_qiskit_52.qasm,2730,411,6240,1855,2.286,4.513,4.26,5011,1564,1.836,3.805,3.94,6273,1814,2.298,4.414,4.62,5125,1513,1.877,3.681,2.51,8733,1278,3.199,3.109,7.12,7061,1189,2.586,2.893,6.98,5059,1572,1.853,3.825,11.42
qft_indep_qiskit_53.qasm,2834,419,6605,1925,2.331,4.594,5.1,5101,1446,1.8,3.451,5.8,6527,1859,2.303,4.437,5.38,5105,1489,1.801,3.554,4.21,8765,1282,3.093,3.06,7.28,7020,1174,2.477,2.802,9.6,5081,1459,1.793,3.482,10.89
qft_indep_qiskit_54.qasm,2943,427,6888,2132,2.34,4.993,5.23,5089,1679,1.729,3.932,6.45,6825,1936,2.319,4.534,6.05,5512,1607,1.873,3.763,4.76,8622,1205,2.93,2.822,7.86,7849,1218,2.667,2.852,11.15,5831,1590,1.981,3.724,13.24
qft_nativegates_ibm_qiskit_opt3_50.qasm,1469,349,3443,1398,2.344,4.006,1.45,3357,1430,2.285,4.097,1.76,3383,1246,2.303,3.57,0.77,3328,1321,2.265,3.785,1.09,4844,1179,3.297,3.378,4.29,5344,1162,3.638,3.33,6.75,3330,1183,2.267,3.39,8.08
qft_nativegates_ibm_qiskit_opt3_51.qasm,1503,356,3591,1393,2.389,3.913,1.43,3426,1400,2.279,3.933,3.78,3417,1371,2.273,3.851,0.75,3432,1377,2.283,3.868,1.05,5352,1206,3.561,3.388,2.41,5156,1202,3.43,3.376,2.8,3438,1258,2.287,3.534,5.89
qft_nativegates_ibm_qiskit_opt3_52.qasm,1540,363,3784,1599,2.457,4.405,1.61,3668,1461,2.382,4.025,4.09,3628,1501,2.356,4.135,0.79,3662,1420,2.378,3.912,1.12,5515,1225,3.581,3.375,2.39,5571,1234,3.618,3.399,3.03,3852,1478,2.501,4.072,4.13
qft_nativegates_ibm_qiskit_opt3_53.qasm,1574,370,3731,1651,2.37,4.462,1.43,3808,1505,2.419,4.068,1.95,3638,1491,2.311,4.03,0.78,3649,1315,2.318,3.554,1.14,5558,1312,3.531,3.546,4.87,5656,1217,3.593,3.289,3.03,3737,1412,2.374,3.816,4.05
qft_nativegates_ibm_qiskit_opt3_54.qasm,1611,377,3897,1628,2.419,4.318,1.59,3657,1628,2.27,4.318,4.33,3765,1488,2.337,3.947,0.79,3806,1531,2.363,4.061,3.68,5463,1303,3.391,3.456,4.89,5759,1303,3.575,3.456,3.12,3916,1525,2.431,4.045,4.23
qftentangled_indep_qiskit_50.qasm,2574,397,6222,1854,2.417,4.67,4.23,4583,1583,1.78,3.987,4.24,5724,1926,2.224,4.851,2.2,4621,1508,1.795,3.798,3.68,7896,1158,3.068,2.917,6.72,6542,1089,2.542,2.743,6.64,4973,1386,1.932,3.491,9.51
qftentangled_indep_qiskit_51.qasm,2675,405,6107,1868,2.283,4.612,5.03,5076,1529,1.898,3.775,6.02,6140,1898,2.295,4.686,2.84,5001,1462,1.87,3.61,3.33,8366,1205,3.127,2.975,6.39,7192,1138,2.689,2.81,8.32,5116,1536,1.913,3.793,9.92
qftentangled_indep_qiskit_52.qasm,2781,413,6423,1904,2.31,4.61,4.82,5355,1487,1.926,3.6,6.94,6258,2077,2.25,5.029,3.28,5477,1680,1.969,4.068,3.77,8679,1263,3.121,3.058,8.31,8434,1288,3.033,3.119,8.61,5473,1495,1.968,3.62,12.58
qftentangled_indep_qiskit_53.qasm,2886,421,6393,1822,2.215,4.328,5.12,5698,1648,1.974,3.914,6.58,6804,1967,2.358,4.672,1.9,5441,1811,1.885,4.302,6.18,9864,1367,3.418,3.247,8.51,8082,1245,2.8,2.957,9.03,5855,1720,2.029,4.086,12.66
qftentangled_indep_qiskit_54.qasm,2996,429,6590,2021,2.2,4.711,5.51,5222,1610,1.743,3.753,6.3,7082,2202,2.364,5.133,6.28,5666,1586,1.891,3.697,6.76,9242,1226,3.085,2.858,5.96,8150,1243,2.72,2.897,11.72,5774,1560,1.927,3.636,11.91
qftentangled_nativegates_ibm_qiskit_opt3_50.qasm,1518,352,3732,1502,2.458,4.267,1.51,3636,1451,2.395,4.122,4,3594,1502,2.368,4.267,0.76,3475,1309,2.289,3.719,1.1,5601,1204,3.69,3.42,2.45,5548,1200,3.655,3.409,3,3457,1333,2.277,3.787,5.98
qftentangled_nativegates_ibm_qiskit_opt3_51.qasm,1553,359,3662,1281,2.358,3.568,3.8,3739,1481,2.408,4.125,4.14,3653,1231,2.352,3.429,3.02,3618,1424,2.33,3.967,3.37,5528,1273,3.56,3.546,4.73,5464,1238,3.518,3.448,5.24,3646,1322,2.348,3.682,8.48
qftentangled_nativegates_ibm_qiskit_opt3_52.qasm,1591,366,3862,1488,2.427,4.066,3.81,3781,1533,2.376,4.189,1.97,3712,1479,2.333,4.041,3.03,3745,1511,2.354,4.128,3.47,5701,1206,3.583,3.295,4.82,5480,1185,3.444,3.238,7.62,3712,1400,2.333,3.825,6.37
qftentangled_nativegates_ibm_qiskit_opt3_53.qasm,1626,373,3999,1519,2.459,4.072,1.63,3850,1587,2.368,4.255,4.29,3837,1569,2.36,4.206,0.82,3918,1493,2.41,4.003,1.21,6399,1305,3.935,3.499,5.03,5778,1145,3.554,3.07,7.69,3737,1373,2.298,3.681,4.25
qftentangled_nativegates_ibm_qiskit_opt3_54.qasm,1664,380,4058,1677,2.439,4.413,1.73,4014,1645,2.412,4.329,2.07,3992,1641,2.399,4.318,3.44,4003,1635,2.406,4.303,1.16,6179,1136,3.713,2.989,2.69,5887,1152,3.538,3.032,3.27,4137,1711,2.486,4.503,6.89
qpeexact_indep_qiskit_50.qasm,2522,583,5810,2123,2.304,3.642,3.62,4862,1792,1.928,3.074,5.55,5903,2032,2.341,3.485,3.3,4939,1792,1.958,3.074,3.12,8861,1506,3.513,2.583,6.58,7233,1397,2.868,2.396,7,5365,1624,2.127,2.786,11.98
qpeexact_indep_qiskit_51.qasm,2625,595,6033,1976,2.298,3.321,3.93,4968,1791,1.893,3.01,5.57,6462,2051,2.462,3.447,3.9,5150,1883,1.962,3.165,3.22,8655,1518,3.297,2.551,6.17,7248,1335,2.761,2.244,8.59,5119,1828,1.95,3.072,9.71
qpeexact_indep_qiskit_52.qasm,2727,607,6543,2355,2.399,3.88,5.17,5501,1824,2.017,3.005,5.54,6507,2092,2.386,3.446,3.37,5500,1779,2.017,2.931,5.13,9612,1533,3.525,2.526,7.37,7795,1457,2.858,2.4,8.57,5277,1862,1.935,3.068,12.18
qpeexact_indep_qiskit_53.qasm,2834,619,7100,2427,2.505,3.921,6.34,5589,1901,1.972,3.071,6.14,6950,2236,2.452,3.612,5.4,5595,1877,1.974,3.032,4.31,9125,1521,3.22,2.457,7.68,8223,1447,2.902,2.338,9.44,6102,1931,2.153,3.12,10.93
qpeexact_indep_qiskit_54.qasm,2940,631,7122,2349,2.422,3.723,6.75,5645,1925,1.92,3.051,6.67,7164,2213,2.437,3.507,4.01,5863,1944,1.994,3.081,5,8901,1542,3.028,2.444,7.74,9747,1567,3.315,2.483,10.18,5989,2031,2.037,3.219,14.02
qpeexact_nativegates_ibm_qiskit_opt3_50.qasm,1529,493,3719,1711,2.432,3.471,1.49,3736,1675,2.443,3.398,4.01,3671,1547,2.401,3.138,3.01,3557,1420,2.326,2.88,3.4,5039,1308,3.296,2.653,4.49,5060,1312,3.309,2.661,2.79,3750,1479,2.453,3,6.22
qpeexact_nativegates_ibm_qiskit_opt3_51.qasm,1568,503,3782,1788,2.412,3.555,1.53,3797,1735,2.422,3.449,4.12,3656,1494,2.332,2.97,0.83,3606,1584,2.3,3.149,3.42,5657,1419,3.608,2.821,4.69,5042,1306,3.216,2.596,7.26,3554,1435,2.267,2.853,6.31
qpeexact_nativegates_ibm_qiskit_opt3_52.qasm,1604,513,3806,1743,2.373,3.398,1.52,3782,1739,2.358,3.39,4.39,3725,1640,2.322,3.197,0.82,3818,1598,2.38,3.115,1.24,5606,1380,3.495,2.69,5.02,5161,1270,3.218,2.476,7.8,3604,1546,2.247,3.014,3.96
qpeexact_nativegates_ibm_qiskit_opt3_53.qasm,1643,523,3992,1833,2.43,3.505,1.58,4054,1877,2.467,3.589,4.53,3956,1743,2.408,3.333,0.84,3840,1611,2.337,3.08,3.7,5432,1404,3.306,2.685,2.52,5299,1427,3.225,2.728,2.9,3858,1527,2.348,2.92,4.38
qpeexact_nativegates_ibm_qiskit_opt3_54.qasm,1679,533,4139,1957,2.465,3.672,4.31,4059,1928,2.418,3.617,2.08,4097,1712,2.44,3.212,0.89,3895,1714,2.32,3.216,1.27,5711,1448,3.401,2.717,2.51,5369,1419,3.198,2.662,2.91,3845,1648,2.29,3.092,4.27
qpeinexact_indep_qiskit_50.qasm,2522,583,6275,2286,2.488,3.921,4.59,4757,1823,1.886,3.127,5.55,6059,2169,2.402,3.72,3.17,4947,1685,1.962,2.89,4.24,7955,1494,3.154,2.563,6.56,6572,1305,2.606,2.238,6.44,4863,1735,1.928,2.976,10.41
qpeinexact_indep_qiskit_51.qasm,2625,595,6054,2104,2.306,3.536,5.55,5197,1854,1.98,3.116,6.33,6330,1893,2.411,3.182,2.79,5175,1698,1.971,2.854,4.73,8361,1483,3.185,2.492,6.25,6928,1392,2.639,2.339,8.21,5315,1761,2.025,2.96,10.62
qpeinexact_indep_qiskit_52.qasm,2727,607,6729,2339,2.468,3.853,5.09,5636,1917,2.067,3.158,5.79,6663,2199,2.443,3.623,4.89,5706,1879,2.092,3.096,4.17,9495,1550,3.482,2.554,7.49,7155,1388,2.624,2.287,8.01,5336,1925,1.957,3.171,12.43
qpeinexact_indep_qiskit_53.qasm,2834,619,7136,2465,2.518,3.982,5.81,5696,2101,2.01,3.394,7.22,6899,2384,2.434,3.851,3.66,5601,1934,1.976,3.124,4.69,8960,1608,3.162,2.598,7.09,8436,1485,2.977,2.399,8.95,5844,1952,2.062,3.153,11.64
qpeinexact_indep_qiskit_54.qasm,2940,631,7089,2466,2.411,3.908,5.63,6095,2144,2.073,3.398,7.18,6999,2293,2.381,3.634,6.72,5716,1900,1.944,3.011,5.32,9936,1625,3.38,2.575,10.01,8836,1422,3.005,2.254,12.64,6380,1922,2.17,3.046,13.16
qwalk-v-chain_indep_qiskit_51.qasm,11706,27263,34566,39094,2.953,1.434,24.29,34163,39190,2.918,1.437,29.45,33972,38682,2.902,1.419,18.41,34469,38971,2.945,1.429,20.02,46032,33197,3.932,1.218,28.01,45398,32640,3.878,1.197,32.97,37863,38439,3.234,1.41,36.76
qwalk-v-chain_indep_qiskit_53.qasm,12642,29447,36903,42171,2.919,1.432,32.88,36063,42159,2.853,1.432,31.18,36993,42033,2.926,1.427,22.01,37158,41931,2.939,1.424,31.73,50025,35973,3.957,1.222,27.81,48392,34872,3.828,1.184,33.45,40630,40850,3.214,1.387,45.47
realamprandom_indep_qiskit_50.qasm,3675,202,13971,2921,3.802,14.46,5.89,12198,2569,3.319,12.718,6.72,12237,2194,3.33,10.861,2.16,10753,1965,2.926,9.728,3.06,14757,1468,4.016,7.267,9.3,14191,1449,3.861,7.173,10.93,10027,1779,2.728,8.807,12.38
realamprandom_indep_qiskit_51.qasm,3825,206,14718,3447,3.848,16.733,7.06,13053,3113,3.413,15.112,8.89,12966,2670,3.39,12.961,4.62,11747,2324,3.071,11.282,4.1,15345,1539,4.012,7.471,9.51,14899,1464,3.895,7.107,13.35,10756,2022,2.812,9.816,14.32
realamprandom_indep_qiskit_52.qasm,3978,210,15351,3353,3.859,15.967,5.65,13643,3052,3.43,14.533,6.82,13335,2624,3.352,12.495,3.62,11548,2313,2.903,11.014,2.63,15945,1541,4.008,7.338,9.23,14274,1450,3.588,6.905,12.51,10663,2136,2.68,10.171,14.6
realamprandom_indep_qiskit_53.qasm,4134,214,15093,3124,3.651,14.598,5.86,13256,3002,3.207,14.028,9.36,14478,2724,3.502,12.729,4.11,11830,2475,2.862,11.565,5.31,17223,1693,4.166,7.911,14.74,15119,1529,3.657,7.145,11.31,11547,2016,2.793,9.421,15.92
realamprandom_indep_qiskit_54.qasm,4293,218,15534,3460,3.618,15.872,5.52,14815,3206,3.451,14.706,6.88,14646,2878,3.412,13.202,1.86,12776,2373,2.976,10.885,2.78,17274,1746,4.024,8.009,13.05,16276,1524,3.791,6.991,15.07,11548,1923,2.69,8.821,13.08
realamprandom_nativegates_ibm_qiskit_opt3_50.qasm,3675,214,13356,3173,3.634,14.827,8.25,12523,3002,3.408,14.028,6.29,12549,2377,3.415,11.107,4.48,10947,2111,2.979,9.864,2.56,14856,1421,4.042,6.64,12.2,13881,1372,3.777,6.411,13.22,9781,1784,2.661,8.336,14.98
realamprandom_nativegates_ibm_qiskit_opt3_51.qasm,3825,218,13791,3212,3.605,14.734,5.6,13341,3028,3.488,13.89,10.48,13116,2618,3.429,12.009,1.78,11264,2193,2.945,10.06,2.75,15546,1494,4.064,6.853,9.82,13538,1402,3.539,6.431,10.28,9753,2020,2.55,9.266,11.69
realamprandom_nativegates_ibm_qiskit_opt3_52.qasm,3978,222,14643,3238,3.681,14.586,5.37,13620,3119,3.424,14.05,7.38,13212,2720,3.321,12.252,1.8,12030,2353,3.024,10.599,6.62,15735,1531,3.956,6.896,9.47,14288,1473,3.592,6.635,10.76,10390,1846,2.612,8.315,11.87
realamprandom_nativegates_ibm_qiskit_opt3_53.qasm,4134,226,15339,3496,3.71,15.469,10.36,13869,3150,3.355,13.938,11.96,13677,2605,3.308,11.527,1.81,11837,2466,2.863,10.912,2.84,17913,1671,4.333,7.394,14.76,14390,1482,3.481,6.558,19.61,10913,1965,2.64,8.695,12.71
