circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0330+cc_min_2qg_out,sabre0330+cc_min_depth_out,sabre0330+cc_min_2qg_ratio,sabre0330+cc_min_depth_ratio,sabre0330+cc_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sabre0394+cc_min_2qg_out,sabre0394+cc_min_depth_out,sabre0394+cc_min_2qg_ratio,sabre0394+cc_min_depth_ratio,sabre0394+cc_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time,sqgm+cc_min_2qg_out,sqgm+cc_min_depth_out,sqgm+cc_min_2qg_ratio,sqgm+cc_min_depth_ratio,sqgm+cc_avg_time,nassc_min_2qg_out,nassc_min_depth_out,nassc_min_2qg_ratio,nassc_min_depth_ratio,nassc_avg_time
ae_indep_qiskit_50.qasm,2450,578,5615,1859,2.292,3.216,3.84,4529,1789,1.849,3.095,4.58,5480,1764,2.237,3.052,2.44,4452,1721,1.817,2.978,2.92,6857,1360,2.799,2.353,5.62,6203,1352,2.532,2.339,6.51,4382,1594,1.789,2.758,8.47
ae_indep_qiskit_51.qasm,2550,590,5691,1922,2.232,3.258,4.5,4560,1899,1.788,3.219,5.31,5787,1944,2.269,3.295,2.61,4533,1607,1.778,2.724,4.31,7899,1385,3.098,2.347,6.84,6672,1345,2.616,2.28,7.58,4382,1549,1.718,2.625,8.48
ae_indep_qiskit_52.qasm,2652,602,5955,2163,2.245,3.593,5.49,4998,1822,1.885,3.027,5.37,5787,2079,2.182,3.453,4.27,4617,1761,1.741,2.925,3.68,8007,1437,3.019,2.387,6.06,6975,1384,2.63,2.299,7.53,4434,1698,1.672,2.821,8.94
ae_indep_qiskit_53.qasm,2756,614,6404,2071,2.324,3.373,3.38,5505,1869,1.997,3.044,5.71,5906,1961,2.143,3.194,3.51,4762,1736,1.728,2.827,4.23,8360,1489,3.033,2.425,6.95,7396,1412,2.684,2.3,8.2,4582,1756,1.663,2.86,11.68
ae_indep_qiskit_54.qasm,2862,626,6336,2264,2.214,3.617,5.53,5052,1937,1.765,3.094,4.02,6669,2179,2.33,3.481,1.85,4992,1931,1.744,3.085,2.67,8727,1483,3.049,2.369,9.69,7220,1487,2.523,2.375,6.41,4984,1870,1.741,2.987,10.43
ae_nativegates_ibm_qiskit_opt3_50.qasm,1458,822,3495,1818,2.397,2.212,1.45,3513,1874,2.409,2.28,1.83,3261,1661,2.237,2.021,0.83,3259,1613,2.235,1.962,3.18,4755,1579,3.261,1.921,2.15,4869,1599,3.34,1.945,6.81,3212,1420,2.203,1.727,3.78
ae_nativegates_ibm_qiskit_opt3_51.qasm,1494,839,3465,1956,2.319,2.331,1.42,3581,1960,2.397,2.336,3.87,3465,1859,2.319,2.216,2.94,3338,1771,2.234,2.111,3.28,4932,1604,3.301,1.912,2.26,4857,1701,3.251,2.027,2.63,3337,1541,2.234,1.837,3.82
ae_nativegates_ibm_qiskit_opt3_52.qasm,1530,855,3708,2103,2.424,2.46,1.55,3763,1936,2.459,2.264,1.97,3624,1895,2.369,2.216,0.85,3474,1802,2.271,2.108,1.22,4653,1682,3.041,1.967,2.12,4858,1625,3.175,1.901,2.79,3566,1521,2.331,1.779,3.96
ae_nativegates_ibm_qiskit_opt3_53.qasm,1566,872,3774,2033,2.41,2.331,1.58,3899,1952,2.49,2.239,4.34,3753,1845,2.397,2.116,0.86,3596,1876,2.296,2.151,3.72,5286,1718,3.375,1.97,2.33,5424,1722,3.464,1.975,2.98,3721,1666,2.376,1.911,4.44
ae_nativegates_ibm_qiskit_opt3_54.qasm,1602,889,3936,2069,2.457,2.327,1.62,3714,1972,2.318,2.218,2.03,3501,1699,2.185,1.911,0.91,3618,1918,2.258,2.157,4.06,5043,1752,3.148,1.971,2.24,5079,1597,3.17,1.796,2.97,3473,1458,2.168,1.64,3.85
